episode,score,steps,alpha,epsilon
0,96,3,0.6,0.25
1,96,3,1.0,0.3
2,96,3,0.757858283255199,0.3
3,96,3,0.6443940149772542,0.2675805205867436
4,96,3,0.5743491774985174,0.18946457081379978
5,96,3,0.5253055608807534,0.1449559327355391
6,96,3,0.4883593419305869,0.11647118646192989
7,96,3,0.45915654995943406,0.09680155905721158
8,-602,2,0.43527528164806206,0.0824692444233059
9,-604,3,0.41524364653850576,0.0715993349974727
10,96,3,0.3981071705534972,0.06309573444801933
11,92,5,0.38321537573562725,0.05627672006216779
12,-602,2,0.3701071724871533,0.050697028491100485
13,96,3,0.3584451092335435,0.04605406581088445
14,-606,4,0.3479755946976367,0.04213532588259928
15,96,3,0.33850375946582717,0.03878738394351254
16,96,3,0.32987697769322355,0.03589682359365735
17,96,3,0.321973724524617,0.03337807562774001
18,96,3,0.3146958370983006,0.03116542070683888
19,96,3,0.3079630127583798,0.029207586990966018
20,-604,3,0.30170881682725814,0.02746401358265295
21,96,3,0.29587773273146395,0.025902211566137076
22,-602,2,0.29042294677199854,0.02449586517528923
23,96,3,0.28530466023981976,0.023223442471487783
24,92,5,0.28048878636154984,0.02206716335518359
25,-606,4,0.27594593229224296,0.02101222243523014
26,-602,2,0.2716505951249556,0.020046196466871113
27,-602,2,0.26758052058674353,0.019158587332288392
28,-604,3,0.2637161868122579,0.01834046584088128
29,96,3,0.2600403852888841,0.017584191408809388
30,-602,2,0.2565378780242026,0.01688318947040394
31,96,3,0.25319511503877523,0.01623177325801658
32,90,6,0.24999999999999997,0.015625000000000003
33,-604,3,0.24694169457129792,0.015058554051149291
34,96,3,0.2440104541215086,0.014528651269734849
35,92,5,0.2411974890085122,0.014031960283392477
36,-608,5,0.2384948468508759,0.013565537275849639
37,96,3,0.23589531212638196,0.013126771670787605
38,-602,2,0.23339232015516467,0.012713340653753008
39,-600,1,0.23097988308796358,0.01232317090481261
40,94,4,0.22865252596366314,0.011954406247375465
41,96,3,0.22640523125235815,0.011605380176865748
42,-600,1,0.22423339058130787,0.011274592434758007
43,96,3,0.22213276256695122,0.010960688952237792
44,-600,1,0.22009943585854286,0.010662444613386975
45,-604,3,0.2181297966470791,0.010378748387802984
46,96,3,0.21622050001405765,0.010108590462614413
47,-602,2,0.2143684445937457,0.009851051068273196
48,-604,3,0.21257075010429846,0.009605290744601333
49,96,3,0.21082473737065027,0.009370541835906819
50,94,4,0.20912791051825463,0.009146101038546529
51,96,3,0.20747794106359835,0.00893132285265437
52,-604,3,0.20587265366665197,0.008725613813089712
53,96,3,0.2043100133433982,0.008528427393954558
54,96,3,0.2027881139644019,0.008339259497040825
55,-604,3,0.20130516788893235,0.008157644447908358
56,96,3,0.19985949660414515,0.007983151434446263
57,-600,1,0.19844952225586374,0.007815381332125287
58,-600,1,0.19707375997205423,0.007653963868022941
59,96,3,0.19573081089255695,0.007498555082351249
60,96,3,0.19441935582935382,0.007348835051847672
61,96,3,0.19313814949088332,0.007204505844172542
62,94,4,0.19188601521188883,0.007065289676530649
63,-606,4,0.190661840137195,0.006930927255214929
64,96,3,0.18946457081379975,0.0068011762757509715
65,96,3,0.1882932091508895,0.006675810065880658
66,96,3,0.18714680871193354,0.006554616355826574
67,-602,2,0.186024471306991,0.0064373961621800755
68,96,3,0.184925343856848,0.0063239627734003115
69,-600,1,0.18384861550365886,0.006214140826336992
70,-600,1,0.1827935149454558,0.006107765464428082
71,-604,3,0.18175930797425954,0.00600468156930178
72,96,3,0.1807452951996164,0.005904743058452736
73,-602,2,0.17975080994123677,0.005807812242484697
74,88,7,0.17877521627604914,0.005713759236131877
75,96,3,0.17781790722643998,0.005622461417903334
76,96,3,0.17687830307774088,0.005533802933750098
77,96,3,0.17595584981417883,0.005447674240644098
78,96,3,0.17505001766353065,0.005363971686389512
79,-600,1,0.17416029974164132,0.005282597122368606
