episode,score,steps,alpha,epsilon
0,-33,134,0.6,0
1,52,49,1.0,0
2,27,74,0.757858283255199,0
3,69,32,0.6443940149772542,0
4,83,18,0.5743491774985174,0
5,82,19,0.5253055608807534,0
6,84,17,0.4883593419305869,0
7,30,71,0.45915654995943406,0
8,88,13,0.43527528164806206,0
9,79,22,0.41524364653850576,0
10,72,29,0.3981071705534972,0
11,89,12,0.38321537573562725,0
12,83,18,0.3701071724871533,0
13,84,17,0.3584451092335435,0
14,70,31,0.3479755946976367,0
15,88,13,0.33850375946582717,0
16,79,22,0.32987697769322355,0
17,86,15,0.321973724524617,0
18,80,21,0.3146958370983006,0
19,86,15,0.3079630127583798,0
20,82,19,0.30170881682725814,0
21,78,23,0.29587773273146395,0
22,85,16,0.29042294677199854,0
23,83,18,0.28530466023981976,0
24,81,20,0.28048878636154984,0
25,84,17,0.27594593229224296,0
26,87,14,0.2716505951249556,0
27,85,16,0.26758052058674353,0
28,89,12,0.2637161868122579,0
29,86,15,0.2600403852888841,0
30,75,26,0.2565378780242026,0
31,76,25,0.25319511503877523,0
32,88,13,0.24999999999999997,0
33,85,16,0.24694169457129792,0
34,84,17,0.2440104541215086,0
35,87,14,0.2411974890085122,0
36,84,17,0.2384948468508759,0
37,82,19,0.23589531212638196,0
38,85,16,0.23339232015516467,0
39,89,12,0.23097988308796358,0
